global_iso_id,nu,sw,n_air,gamma_self,elower,nu-err,sw-err,n_air-err,gamma_self-err,nu-ref,sw-ref,n_air-ref,gamma_self-ref
1,3445.426705,7.64e-29,0.48,0.298,1875.4613,4,4,3,2,762,26,819,817
1,3445.486586,6.052e-29,0.41,0.195,4017.9062,3,4,3,2,762,26,101,817
1,3445.494032,4.505e-29,0.38,0.208,4016.1328,3,4,3,2,762,26,101,817
1,3445.498426,2.289e-29,0.57,0.333,4889.457,4,4,5,6,762,26,778,817
1,3445.556523,2.29e-28,0.48,0.298,1616.4524,4,4,3,2,762,26,819,817
1,3445.588179,3.858e-29,0.36,0.235,3939.7449,2,4,3,2,762,26,101,817
1,3445.650062,5.262e-28,0.46,0.371,3736.1707,4,4,3,7,762,26,778,817
1,3445.73796,1.372e-24,0.51,0.298,1581.3357,4,5,4,2,15,15,819,817
1,3445.79812,6.697e-25,0.56,0.315,1810.583,5,5,4,2,15,15,819,817
1,3445.82096,1.029e-25,0.36,0.221,2631.2822,4,5,4,2,15,15,101,817
1,3445.83576,3.086e-25,0.36,0.221,2631.2671,4,5,4,2,15,15,101,817
1,3445.86074,2.045e-24,0.56,0.315,1810.5876,5,5,4,2,15,15,819,817
1,3445.884588,1.858e-28,0.69,0.456,3885.7378,3,4,3,2,762,26,819,817
1,3446.060775,2.04e-29,0.52,0.333,4381.7354,4,4,5,5,762,26,778,817
1,3446.129435,4.442e-29,0.67,0.391,4244.3047,4,4,3,2,762,26,819,817
1,3446.174605,3.11e-29,0.41,0.183,3647.458,3,4,3,2,762,26,101,817
1,3446.178847,1.153e-29,0.41,0.208,3439.3054,4,4,3,2,762,26,101,817
1,3446.20374,3.127e-26,0.24,0.25,2748.0986,4,5,4,2,15,15,819,817
1,3446.31179,2.082e-23,0.62,0.371,1045.0577,4,5,4,2,15,15,819,817
1,3446.64074,1.493e-26,0.56,0.315,2688.0796,5,5,8,6,15,15,819,817
1,3446.710852,4.242e-28,0.62,0.371,4190.2622,4,4,3,2,762,26,819,817
1,3446.837865,7.939e-29,0.62,0.456,3789.9692,3,4,3,7,762,26,778,817
1,3446.88454,5.204e-22,0.56,0.269,1079.0792,5,5,8,6,15,15,819,65
1,3446.94125,1.819e-21,0.62,0.472,648.9787,5,5,8,7,15,15,819,65
1,3446.96088,8.875e-24,0.61,0.352,1216.1897,5,5,4,2,15,15,819,817
1,3446.980453,4.569e-29,0.36,0.235,4585.3472,3,4,3,2,762,26,101,817
1,3447.06334,8.475e-28,0.58,0.281,3487.3982,4,4,3,5,762,26,778,817
1,3447.07705,1.739e-21,0.55,0.412,488.1342,4,5,3,6,15,15,778,817
1,3447.13433,1.949e-25,0.36,0.235,2918.2437,4,5,4,2,15,15,101,817
1,3447.18466,8.391e-26,0.36,0.235,3084.8347,4,5,4,2,15,15,101,817
1,3447.210899,1.684e-29,0.36,0.221,3937.5701,3,4,3,2,762,26,101,817
1,3447.23701,5.365e-21,0.51,0.405,488.1077,5,5,4,6,15,15,778,89
1,3447.288298,5.325e-27,0.51,0.298,3072.7258,4,5,4,2,762,15,819,817
1,3447.493093,4.168e-29,0.51,0.298,4752.7324,4,4,3,2,762,26,819,817
1,3447.549943,1.972e-29,0.36,0.221,4534.9614,3,4,3,2,762,26,101,817
1,3447.570517,1.279e-29,0.67,0.412,3375.2976,4,4,3,2,762,26,819,817
1,3447.602765,7.83e-27,0.41,0.195,2981.3574,4,4,3,2,762,26,101,817
1,3447.605622,2.607e-27,0.41,0.195,2981.3584,3,4,3,2,762,26,101,817
1,3447.61548,4.357e-25,0.23,0.25,2414.7219,5,5,3,6,15,15,778,817
1,3447.653648,8.479e-27,0.71,0.412,2005.9167,4,4,5,6,762,26,778,817
1,3447.73019,7.141e-26,0.62,0.371,602.7735,5,5,4,2,15,15,819,817
1,3447.81837,4.478e-26,0.24,0.25,2248.0632,5,5,4,2,15,15,819,817
1,3447.956912,1.329e-28,0.75,0.391,4165.4736,4,4,5,6,762,26,778,817
1,3447.98823,3.098e-26,0.51,0.298,3387.3999,4,5,4,2,15,15,819,817
1,3448.23448,3.348e-26,0.38,0.208,3211.2112,4,5,4,2,15,15,101,817
1,3448.315296,2.159e-29,0.41,0.195,4428.1123,3,4,3,2,762,26,101,817
1,3448.362237,6.938e-27,0.56,0.315,3526.6267,4,4,3,2,762,26,819,817
1,3448.36233,1.876e-26,0.56,0.315,3526.6279,4,5,4,2,15,15,819,817
1,3448.39146,1.117e-26,0.38,0.208,3211.0547,4,5,4,2,15,15,101,817
1,3448.40041,6.293e-22,0.61,0.607,842.3565,5,5,4,3,15,15,819,78
1,3448.438561,6.802e-29,0.41,0.195,4174.2847,4,4,3,2,762,26,101,817
1,3448.571334,2.797e-28,0.71,0.434,3956.6658,4,4,3,2,762,26,819,817
1,3448.69904,3.155e-23,0.48,0.305,1985.7842,5,5,4,5,15,15,819,89
1,3448.741532,1.189e-27,0.61,0.352,4232.1841,4,4,3,2,762,26,819,817
1,3448.797,1.002e-29,0.36,0.235,4774.043,4,4,3,2,762,26,101,817
1,3448.826083,3.933e-28,0.61,0.352,4232.3843,3,4,3,2,762,26,819,817
1,3448.93736,4.76e-24,0.57,0.333,1590.6901,4,5,4,2,15,15,819,817
1,3448.95139,1.598e-24,0.57,0.333,1590.6906,5,5,4,2,15,15,819,817
1,3448.96373,2.683e-29,0.24,0.25,4074.0371,3,4,3,2,762,26,819,817
1,3449.04931,7.39e-27,0.51,0.315,1477.2972,4,4,3,2,762,26,819,817
1,3449.133656,9.68e-29,0.56,0.315,4784.6621,4,4,3,2,762,26,819,817
1,3449.234115,2.979e-27,0.51,0.298,3383.2651,4,4,3,2,762,26,819,817
1,3449.32617,1.376e-25,0.62,0.371,2282.5896,5,5,4,2,15,15,819,817
1,3449.33815,1.811e-26,0.36,0.235,2073.5142,4,5,4,2,15,15,101,817
1,3449.375543,1.01e-27,0.62,0.371,4199.3906,4,4,3,2,762,26,819,817
1,3449.43345,3.562e-26,0.62,0.371,2552.8572,5,5,4,2,15,15,819,817
1,3449.508214,3.421e-29,0.24,0.25,4941.6221,3,4,3,2,762,26,819,817
1,3449.588063,1.026e-28,0.24,0.25,4941.605,4,4,3,2,762,26,819,817
1,3449.60134,5.446e-26,0.36,0.235,2073.5137,5,5,4,2,15,15,101,817
1,3449.78052,1.912e-24,0.74,0.412,2004.8154,5,5,4,6,15,15,778,817
1,3449.85265,5.149e-29,0.67,0.391,4257.7866,4,4,3,2,762,26,819,817
1,3449.93996,9.279e-26,0.51,0.298,3383.2651,5,5,4,2,15,15,819,817
1,3450.090095,3.167e-29,0.56,0.315,4783.6406,4,4,3,2,762,26,819,817
1,3450.19175,2.279e-23,0.57,0.357,1411.6113,4,5,4,5,15,15,819,89
1,3450.293763,3.729e-28,0.71,0.48,3791.7007,3,4,3,2,762,26,819,817
1,3450.302559,6.97e-29,0.24,0.265,3770.8779,3,4,3,2,762,26,819,817
1,3450.30363,4.66e-28,0.36,0.221,3624.1792,3,4,3,2,762,26,101,817
1,3450.752297,8.351e-28,0.41,0.195,3812.0449,3,4,3,2,762,26,101,817
1,3450.76089,7.262e-26,0.48,0.281,1843.0288,4,5,4,2,15,15,819,817
1,3450.781829,2.04e-29,0.55,0.391,4065.1316,4,4,3,7,762,26,778,817
1,3450.82827,1.917e-26,0.48,0.298,2054.3447,5,4,3,2,15,26,819,817
1,3450.88186,1.872e-25,0.12,0.315,2512.3752,5,5,3,6,15,15,778,817
1,3450.8835,1.993e-26,0.56,0.315,1810.5876,4,5,4,2,15,15,819,817
1,3450.88814,6.656e-27,0.56,0.315,1810.583,3,5,4,2,762,15,819,817
1,3450.904097,1.915e-29,0.71,0.434,3935.344,3,4,3,2,762,26,819,817
1,3451.022215,1.625e-29,0.67,0.391,4150.2871,4,4,3,2,762,26,819,817
1,3451.090313,6.63e-29,0.7,0.412,4066.1221,4,4,4,7,762,26,778,817
1,3451.23631,5.567e-25,0.56,0.315,2512.2825,5,5,8,6,15,15,819,817
1,3451.24973,2.372e-24,0.51,0.298,1724.7047,5,5,4,2,15,15,819,817
1,3451.253707,5.89e-27,0.48,0.298,2054.3682,4,5,4,2,762,15,819,817
1,3451.345491,6.374e-26,0.24,0.25,2586.5288,3,5,4,2,762,15,819,817
1,3451.376261,1.467e-29,0.71,0.412,4066.1221,4,4,5,6,762,26,778,817
1,3451.410999,3.368e-28,0.24,0.265,3592.4231,4,4,3,2,762,26,819,817
1,3451.477732,2.054e-28,0.67,0.391,4256.2412,4,4,3,2,762,26,819,817
1,3451.84225,2.526e-27,0.41,0.195,3810.9341,4,4,3,2,762,26,101,817
1,3451.95944,2.481e-24,0.61,0.352,1394.8141,5,5,4,2,15,15,819,817
1,3451.96161,7.302e-24,0.61,0.228,1394.8141,4,5,4,5,15,15,819,89
1,3451.967742,2.7e-28,0.36,0.235,4184.8301,4,4,3,2,762,26,101,817
1,3452.0831,1.198e-25,0.61,0.371,2161.2859,5,5,4,2,15,15,819,817
1,3452.35828,6.979e-26,0.51,0.298,3253.7373,5,5,4,2,15,15,819,817
1,3452.427886,1.33e-29,0.52,0.352,4186.5688,4,4,5,6,762,26,778,817
1,3452.447018,1.122e-27,0.39,0.281,3314.855,4,4,3,2,762,26,819,817
1,3452.564199,8.521e-27,0.38,0.208,2660.9441,3,4,3,2,762,26,101,817
1,3452.595233,1.359e-29,0.59,0.333,4643.9985,4,4,4,5,762,26,778,817
1,3452.764009,7.334e-29,0.69,0.412,3598.7266,4,4,3,2,762,26,819,817
1,3452.773744,3.018e-29,0.7,0.333,4224.5874,4,4,4,6,762,26,778,817
1,3452.808421,1.003e-29,0.36,0.221,3360.5989,3,4,3,2,762,26,101,817
1,3452.843263,6.095e-27,0.39,0.265,2813.5273,3,4,3,2,762,26,819,817
1,3452.85887,1.202e-26,0.39,0.265,2813.5115,4,5,4,2,15,15,819,817
1,3452.87037,1.321e-29,0.48,0.281,4714.8184,4,4,3,2,762,26,819,817
1,3452.96901,1.005e-28,0.36,0.235,4183.3872,4,4,3,2,762,26,101,817
1,3453.05133,8.835e-25,0.48,0.298,1581.3357,4,5,4,2,15,15,819,817
1,3453.065792,1.438e-28,0.41,0.183,4432.8569,4,4,3,2,762,26,101,817
1,3453.104088,2.083e-28,0.39,0.265,3738.5422,3,4,3,2,762,26,819,817
1,3453.11368,1.198e-23,0.51,0.298,2054.3682,4,5,4,2,15,15,819,817
1,3453.12968,3.594e-23,0.51,0.298,2054.3447,4,5,4,2,15,15,819,817
1,3453.154307,1.103e-28,0.71,0.434,3864.7629,4,4,3,2,762,26,819,817
1,3453.303303,2.717e-28,0.69,0.456,3788.6914,3,4,8,7,762,26,819,817
1,3453.428296,1.193e-29,0.38,0.208,4237.3188,3,4,3,2,762,26,101,817
1,3453.745072,5.502e-27,0.62,0.391,742.073,4,4,3,2,762,26,819,817
1,3453.826796,7.02e-27,0.39,0.281,2142.5967,3,5,4,2,762,15,819,817
1,3453.8836,2.618e-25,0.69,0.412,1922.9004,5,5,8,7,15,15,819,817
1,3453.889289,3.737e-29,0.56,0.315,5067.0762,4,4,3,2,762,26,819,817
1,3453.96531,4.276e-25,0.39,0.265,2433.7991,4,5,4,2,15,15,819,817
1,3454.02856,9.561e-24,0.56,0.375,982.9116,4,5,4,5,15,15,819,89
1,3454.171582,4.414e-28,0.36,0.235,3685.418,3,4,3,2,762,26,101,817
1,3454.183739,1.324e-27,0.36,0.235,3685.4065,3,4,3,2,762,26,101,817
1,3454.438326,2.361e-29,0.65,0.352,4426.0659,4,4,6,8,762,26,778,817
1,3454.53817,5.769e-25,0.38,0.265,2124.95,4,5,3,5,15,15,778,817
1,3454.57328,1.222e-25,0.49,0.333,2490.354,5,5,5,6,15,15,778,817
1,3454.578366,2.243e-29,0.71,0.434,3500.5105,4,4,3,2,762,26,819,817
1,3454.688168,1.095e-28,0.68,0.456,3887.1143,4,4,4,7,762,26,778,817
1,3454.710107,2.555e-27,0.38,0.208,2660.9448,3,4,3,2,762,26,101,817
1,3454.736378,1.487e-29,0.57,0.352,3894.1675,4,4,3,2,762,26,819,817
1,3454.898732,5.348e-28,0.15,0.333,3895.2527,4,4,3,6,762,26,778,817
1,3455.140857,3.324e-29,0.71,0.434,3962.918,3,4,8,7,762,26,819,817
1,3455.298864,3.166e-27,0.56,0.315,3139.4756,4,4,3,2,762,26,819,817
1,3455.425656,2.207e-29,0.53,0.434,3926.8623,4,4,3,7,762,26,778,817
1,3455.501108,1.263e-29,0.56,0.315,4949.0029,4,4,3,2,762,26,819,817
1,3455.595486,1.417e-27,0.36,0.221,3824.9963,3,4,3,2,762,26,101,817
1,3455.603351,1.601e-29,0.36,0.235,4774.043,3,4,3,2,762,26,101,817
1,3455.697,1.626e-26,0.48,0.281,3535.8699,4,5,8,7,15,15,819,817
1,3455.759861,4.551e-29,0.69,0.412,4050.052,4,4,3,2,762,26,819,817
1,3455.77165,4.68e-24,0.56,0.315,1631.2452,5,5,4,2,15,15,819,817
1,3455.78135,3.114e-22,0.67,0.542,610.3411,5,5,4,4,15,15,819,78
1,3455.79434,1.448e-26,0.61,0.352,2724.0413,5,5,4,2,15,15,819,817
1,3455.82576,3.679e-26,0.57,0.352,931.237,5,5,4,2,15,15,819,817
1,3455.977806,3.908e-28,0.62,0.412,3877.5747,4,4,4,5,762,26,778,817
1,3456.100797,4.721e-28,0.36,0.221,3824.4971,3,4,3,2,762,26,101,817
1,3456.109828,1.56e-29,0.41,0.195,3567.1716,4,4,3,2,762,26,101,817
1,3456.25469,1.561e-22,0.48,0.489,1899.0074,4,5,4,4,15,15,819,78
1,3456.428324,1.775e-28,0.57,0.333,3894.7986,4,4,8,6,762,26,819,817
1,3456.4449,1.233e-27,0.67,0.391,4095.9199,4,4,3,2,762,26,819,817
1,3456.55295,2.17e-25,0.51,0.298,1538.1488,4,5,4,2,15,15,819,817
1,3456.75366,4.115e-23,0.42,0.255,1293.6337,5,5,4,6,15,15,778,78
1,3457.011342,6.995e-29,0.62,0.371,4015.5146,4,4,8,6,762,26,819,817
1,3457.05941,2.868e-29,0.51,0.352,3894.1675,4,4,5,5,762,26,778,817
1,3457.24959,2.094e-25,0.48,0.281,3314.855,5,5,4,2,15,15,819,817
1,3457.31469,2.251e-26,0.62,0.391,742.0762,5,5,4,2,15,15,819,817
1,3457.34399,1.368e-23,0.41,0.27,1293.0173,5,5,4,5,15,15,778,89
1,3457.348158,2.101e-28,0.56,0.315,3526.6279,4,4,3,2,762,26,819,817
1,3457.349307,7.003e-29,0.56,0.315,3526.6267,3,4,3,2,762,26,819,817
1,3457.374297,1.183e-28,0.51,0.298,4644.2163,4,4,3,2,762,26,819,817
1,3457.50038,1.557e-23,0.56,0.315,1360.235,5,5,4,2,15,15,819,817
1,3457.58496,7.02e-23,0.62,0.43,416.2087,5,5,4,5,15,15,819,89
1,3457.789193,1.826e-29,0.57,0.333,4643.9985,4,4,3,2,762,26,819,817
1,3458.0536,2.328e-23,0.62,0.454,326.6255,5,5,4,8,15,15,819,59
1,3458.116087,6.687e-29,0.72,0.48,3791.7007,3,4,4,7,762,26,778,817
1,3458.13613,6.092e-26,0.48,0.281,3323.2688,5,5,4,2,15,15,819,817
1,3458.25158,2.582e-25,0.58,0.352,2318.5398,5,5,5,6,15,15,778,817
1,3458.322452,1.633e-29,0.57,0.333,4775.0879,4,4,3,2,762,26,819,817
1,3458.34493,1.589e-25,0.67,0.412,2005.9167,4,5,4,2,15,15,819,817
1,3458.3851,2.203e-26,0.49,0.333,2919.6323,5,5,5,6,15,15,778,817
1,3458.412897,4.112e-28,0.38,0.208,4006.071,4,4,3,2,762,26,101,817
1,3458.46582,3.546e-24,0.37,0.281,1695.0677,4,5,4,5,15,15,778,817
1,3458.51438,5.694e-29,0.64,0.412,4030.8389,4,4,4,6,762,26,778,817
1,3458.54176,3.768e-23,0.24,0.25,2042.3727,4,5,4,2,15,15,819,817
1,3458.54596,1.134e-22,0.24,0.198,2042.3098,5,5,4,5,15,15,819,89
1,3458.59603,5.204e-23,0.39,0.265,1960.2061,4,5,4,2,15,15,819,817
1,3458.602255,5.121e-29,0.57,0.333,4774.8047,4,4,3,2,762,26,819,817
1,3458.603308,2.5e-28,0.67,0.391,3598.5156,4,4,8,7,762,26,819,817
1,3458.632097,4.968e-29,0.41,0.183,4427.1621,3,4,3,2,762,26,101,817
1,3458.65666,7.284e-29,0.69,0.412,3746.7627,4,4,3,2,762,26,819,817
1,3458.76067,1.497e-22,0.39,0.351,1962.5062,5,5,4,4,15,15,819,78
1,3458.871439,5.397e-28,0.48,0.281,3441.0388,4,4,3,2,762,26,819,817
1,3458.930928,2.661e-28,0.51,0.298,4669.7354,4,4,3,2,762,26,819,817
1,3458.93366,5.93e-25,0.48,0.281,2142.5967,5,5,4,2,15,15,819,817
1,3458.96866,2.989e-26,0.36,0.235,2327.8826,5,5,4,2,15,15,101,817
1,3458.986434,2.606e-29,0.36,0.235,4396.0503,4,4,3,2,762,26,101,817
1,3459.269974,1.29e-27,0.24,0.265,2437.5012,4,4,3,2,762,26,819,817
1,3459.314391,1.917e-29,0.51,0.298,5027.5586,4,4,3,2,762,26,819,817
1,3459.343411,1.572e-27,0.41,0.183,3319.4458,4,4,3,2,762,26,101,817
1,3459.345106,5.239e-28,0.41,0.183,3319.447,3,4,3,2,762,26,101,817
1,3459.486831,3.334e-29,0.82,0.391,4248.1523,4,4,5,6,762,26,778,817
1,3459.492632,6.468e-28,0.67,0.391,4153.938,4,4,3,2,762,26,819,817
1,3459.5164,4.801e-25,0.67,0.412,2004.8154,4,5,4,2,15,15,819,817
1,3459.5252,3.792e-24,0.48,0.298,1446.1279,5,5,4,2,15,15,819,817
1,3459.532435,5.108e-29,0.69,0.456,3825.2129,3,4,8,7,762,26,819,817
1,3459.631495,5.613e-29,0.69,0.456,3833.5769,3,4,3,2,762,26,819,817
